model,repr_acc,paper_acc,diff_acc,repr_kap,paper_kap,diff_kap,repr_f1,paper_f1,diff_f1
RF,0.898,0.857,0.041,0.304,0.715,-0.411,0.346,0.85,-0.504
GBM,0.902,0.863,0.039,0.452,0.726,-0.274,0.504,0.86,-0.356
XGBoost,0.898,0.855,0.043,0.428,0.71,-0.282,0.482,0.851,-0.369
LightGBM,0.903,0.864,0.039,0.451,0.727,-0.276,0.502,0.861,-0.359
